Protein_ID,Gene_Name,Infected_1002,Infected_1015,Infected_1004,Infected_1017,Infected_1031,Infected_1014,Infected_1042,Infected_1044,Clean_2205,Clean_2057,Clean_2078,Clean_2062,Clean_2086,Clean_2065,Clean_2044,Clean_2048,Clean_2033,Clean_2041,Clean_2060,Clean_2029,Clean_1054,Clean_2038,Clean_2072,Clean_2064,Clean_2025,Clean_2063
P02748,C9,78840,102740,0,1071700,304650,808550,20446,24521,1387500,243060,143790,95056,1407800,140690,127280,69321,2653900,45566,454480,0,296960,241.06,422300,260310,440360,1269400
P02749,APOH,62068,417280,85113,890430,319870,485500,364780,949870,382620,640930,89692,623300,492390,793010,411610,585340,624080,1459400,819550,227100,431980,271290,1535800,474450,411670,1248700
P02751,FN1,576940,149080,136230,1109600,484180,3343400,393480,1105800,743320,385860,1075900,150340,329920,510640,1478100,1726600,1534700,1438900,2258400,259780,1672100,1893900,3112300,1328900,1938000,1498800
P02753,RBP4,100990,113410,31894,115820,124010,152830,53982,130140,85224,1463100,116090,111510,0,116550,93584,163830,57946,51489,194680,0,165180,202250,320600,176410,138560,147630
P02760,AMBP,0,9533,0,241390,179420,1431.5,26016,132510,125550,25292,63428,1086.2,120870,171130,55320,128170,177560,190560,181050,50156,13445,81603,158000,55013,278970,365710
P02763,ORM1,2344900,6447600,1135200,6454600,6046900,6165600,14511000,9384800,10974000,6035700,1329800,2729600,23286000,7629600,5773000,4649600,10885000,9027200,10599000,4928800,3005400,1849800,11810000,11257000,12268000,18800000
P02766,TTR,12928000,20741000,6191900,8046000,9973400,57750000,13228000,60184000,19050000,25882000,4318600,15459000,18702000,45848000,10544000,7811700,2669300,129300000,9641600,11805000,6942700,6230400,15834000,13109000,4308000,11640000
P02774,GC,4666300,2086600,1233200,15189000,8753100,6753600,3230000,4046300,17958000,2006500,7472700,2566200,13560000,6381200,6295700,8189900,19238000,8263400,12506000,4257500,5418400,12714000,12159000,9841100,21339000,9111600
P02787,TF,55004000,18662000,26249000,152510000,51093000,49757000,35518000,36871000,79552000,26846000,80916000,41496000,94967000,118540000,44025000,61494000,105350000,88853000,70051000,46587000,100080000,55465000,79220000,57481000,41721000,111520000
P02790,HPX,12101000,15205000,6897400,41186000,16266000,9350500,22330000,9636300,6120400,12389000,2133800,17613000,32147000,21355000,2114600,10111000,33486000,18165000,27133000,18635000,12172000,1602000,47824000,10523000,2999800,39705000
P03952,KLKB1,0,0,0,329140,97360,46989,0,0,210500,0,14705,954.66,222870,76447,49486,35689,46450,18913,80234,0,14955,28535,53527,51891,361330,69378
P04004,VTN,133050,118170,0,6337,7729.9,167940,95585,149530,264650,37970,273010,5544.1,441460,171840,71971,170290,1718.9,51007,229020,1732.4,96725,245510,316070,220030,32153,286900
P04040,CAT,89684,94725,18554,86953,354200,741770,0,32260,74727,0,55816,0,12354,10854,78577,142530,129450,4946,17190,129270,0,197870,126050,78944,76685,100310
P04075,ALDOA,258320,783020,14279,597510,369080,2647300,158550,12921,489910,0,407060,0,452080,652480,652360,679150,391450,57324,128720,156720,175510,209890,444610,280690,170410,215860
P04196,HRG,16006,6891.4,0,157450,73298,368310,0,171830,4861.2,2530.9,2347.7,11084,283920,128740,26684,8664.6,108610,153550,152740,4030,48887,11366,95906,82446,0,236040
P04217,A1BG,144100,169420,21471,1039900,587880,2785200,450040,1490100,1735100,169530,64226,149400,1838000,677090,126530,91111,642870,1734900,476260,15309,130120,3949.2,428330,181620,1320600,690600
P04264,KRT1,30038,56395,17097,0,18767,20246,82470,78419,94453,30260,21328,32019,40320,379440,426.43,0,6565.1,107530,15261,49665,56021,17242,48025,13195,20940,67651
P04406,GAPDH,401270,1745800,42820,132450,635890,228780,1649.7,3577.6,218230,78900,248680,1159300,261050,345560,335230,407070,760380,0,74122,0,192520,264780,156310,150560,69173,102040
P05060,CHGB,8762900,733080,2269300,11477000,8630300,2227100,479290,818070,535420,108110,15861000,784090,411610,9822100,6291200,25807000,175790,8979400,2469800,2576600,12218000,10218000,1408800,13534000,4331500,8492500
P05067,APP,6157600,378210,445490,1837900,1548500,764980,108350,114550,103490,167460,18173000,676860,541860,2764500,2710300,13512000,17603,1344900,690780,711450,2584100,9890200,912380,2109600,2485400,1666000
P05109,S100A8,533.06,332480,177710,176340,21864,1298500,6000.4,15754,34099,77339,68351,31177,0,4403.5,22701,54743,613550,377000,37860,620250,0,72839,6827.1,99276,19212,0
P05155,SERPING1,265160,281450,331860,1192200,862340,969840,190660,403890,842970,253620,524510,308560,288750,203000,860380,804700,1443600,620970,594140,250860,348530,1028300,1047200,726640,1691600,679370
P05156,CFI,369270,110470,11854,638340,448980,799290,70110,117660,801130,61414,632230,76132,811250,269400,985680,478150,1243400,487350,507950,110300,217780,463540,536860,839730,848900,610850
P05408,SCG5,3891600,379620,533180,2569900,1636800,384190,290680,132340,65362,398340,5034600,632320,280110,1900100,2190900,6193000,197620,1088900,470120,692860,3053700,4094500,423190,2944100,1379300,952750
P05452,CLEC3B,505820,114690,139210,299290,87949,174250,290300,209090,184420,43153,136020,75854,55692,473110,441140,707380,391960,2374300,253750,237450,270570,436890,164910,382700,1131800,497640
P05543,SERPINA7,83066,58347,8014.6,29373,53734,433490,70109,4277.3,35624,36411,9362.4,62242,429420,255240,278520,69195,280500,26543,290960,136740,79117,29558,198640,239360,198580,260290
P05546,SERPIND1,139120,104750,0,744520,670620,570630,40119,84389,97958,47074,813360,30143,729320,203480,367630,552750,1044900,175410,222940,0,149650,603210,210400,310600,273190,242120
P06396,GSN,2367800,304150,103700,1396800,543110,1567000,263950,1109600,356060,449860,433560,313600,1405000,1272200,532360,930280,607000,2516100,606570,1180300,3501200,605210,1704800,1530600,424710,4823400
P06681,C2,110020,99882,0,336490,324200,317850,4656.4,93462,27965,0,130410,8194.8,287950,81938,588950,191820,256920,386180,232840,44943,54327,225270,150050,237440,38994,161920
P06727,APOA4,2364600,192740,401870,5052200,15869000,5874600,115960,155290,8654600,765980,2299700,1045100,5141800,3761000,6904200,3018000,2784000,1174400,3165600,620450,1297300,843160,2214900,6395900,28186000,5958000
P06733,ENO1,430970,961070,29038,311370,125860,1592600,54024,410910,162570,0,240590,307370,107240,86350,32668,163780,72047,25389,200590,87447,4115.1,31543,228150,180700,97563,133010
P07195,LDHB,113440,151810,10700,38586,106700,346710,28592,114560,192060,3849.9,195600,40702,294750,311630,392130,175560,13794,292480,255570,11472,92371,665700,48208,86829,353240,462540
P07225,PROS1,43420,73786,0,44723,63286,505590,0,55709,113510,23837,152160,34807,174450,160240,57147,94045,102200,151720,57345,3598.7,83859,130000,25069,95044,86111,87342
P07357,C8A,52592,3050.7,0,717320,273470,286840,0,5326.7,400260,0,167970,6714.5,591310,223800,117460,121980,503600,89018,168130,32331,15773,62562,266050,320080,190530,336180
P07737,PFN1,670890,157080,38739,503480,481740,2749000,10615,64531,12314,6437.6,74605,308830,83579,542280,640930,159940,711310,141410,376410,85873,98545,631770,89418,168940,193670,1359.8
P07858,CTSB,418180,117600,79494,217280,155610,1010700,134090,70447,144270,25832,398300,43346,80082,196200,702790,609750,55980,246320,36568,85108,235080,292530,119590,524400,52878,137460
P07998,RNASE1,458310,32710,72424,258290,64550,7945.6,87216,47807,19554,64387,118370,413360,0,163420,509610,111480,5503.4,1825700,39125,263080,297810,313820,309860,179860,9435.1,608100
P08185,SERPINA6,70039,4909.5,0,102080,96087,58876,26955,134700,0,0,36395,14510,167610,109480,103710,67182,54376,814330,100830,38809,3209.8,70075,94321,67252,111210,7176.6
P08294,SOD3,399850,1032100,27722,121660,83069,711110,286370,237840,228880,109630,69988,273160,693010,1101500,97548,73603,64949,374760,119220,89775,69613,108680,316310,169850,154080,417020
P08571,CD14,467320,89264,0,984130,314690,2560400,73940,216740,873210,75147,556540,56000,154930,67091,1617000,835620,519610,420910,502510,21677,577570,839230,426550,829790,977270,581010
P08603,CFH,143350,67364,36789,391790,191850,740060,110950,422700,98445,112480,161450,30628,339880,262120,147370,130800,590800,1396600,199780,142340,389680,263970,228100,373780,153180,518790
P08697,SERPINF2,213860,65203,12095,75982,96616,130640,93131,70303,266400,12738,83105,49011,322650,182450,130300,99623,0,169410,202070,21183,41594,49615,293300,307040,28647,92478
P09486,SPARC,1965400,931200,553250,443780,1436100,406050,572490,614200,277530,244830,215820,671460,421620,2447500,292210,1063400,126890,2075200,784140,897560,676310,715600,1123900,2001700,633620,994430
P09603,CSF1,0,0,35866,142810,55162,0,0,0,0,4910,0,23455,5002.9,112050,166920,222050,107390,121000,71301,940.31,212540,177990,33832,333780,5356.8,135160
P09871,C1S,248190,0,58386,330400,143460,117350,111070,130600,86086,48035,170530,70076,149950,96846,81433,206090,178560,632700,121220,100740,524310,198390,328130,236240,403800,462220
P0C0L4,C4A,7813300,2059400,883850,5602900,9790000,6356000,2310500,3487000,2545100,1699500,3923300,1851900,2684500,7201000,11241000,7053900,7051400,40037000,2737200,2244400,2909900,3638500,3352000,8991100,3779500,7555600
P0C0L5,C4B,698600,31876,17183,79037,808370,1466900,142640,172090,70641,33076,417300,61838,373980,644540,909190,120750,33390,4100400,145920,275950,53687,212600,211000,572490,55441,477780
P0DOY3,IGLC3,195800,630560,26086,790150,113120,3836200,670490,1887800,2149600,851450,411900,102870,4740100,278090,167410,574510,3925200,1215200,199170,95403,75378,350920,1156500,102260,127470,2540400
P10451,SPP1,7448700,4023000,3979800,3194000,6245300,19093000,10923000,4425000,2008600,4778900,6479900,4616300,2117700,4967200,36695000,11387000,1799200,5858600,9824200,2151400,6495600,10753000,4564600,9653200,3825700,8182400
P10643,C7,24510000,74237,34281000,1551300,986080,1170200,27883000,30904000,567710,29325000,1548800,29194000,1612500,13913000,1054500,14325000,2287000,16344000,766660,22600000,24484000,1193600,16213000,17044000,927160,2185200
P10645,CHGA,8361900,436340,1476900,8091800,4475400,3046000,256120,942410,508150,186540,13756000,361220,328260,7394600,3701300,16120000,116000,10054000,1373200,3091300,16663000,4812700,1820800,9925800,3915800,4109300
P10909,CLU,13299000,1426300,1196400,5757600,6458600,5174700,13279000,2106500,2973500,2776000,11437000,1979500,4533300,3399500,59936000,74461000,3164600,14248000,42083000,548430,11612000,24890000,34326000,25930000,10036000,7619900
P11021,HSPA5,109030,44037,0,6406.3,0,171320,0,7651.8,1935.3,0,123770,0,29712,143170,60474,204470,72302,133520,26970,22363,22539,74638,18466,159980,10921,90520
P11142,HSPA8,198070,517120,0,10930,986340,1383600,7311.5,2720.8,96974,0,62530,10571,86597,354020,706470,733620,5062.6,12179,180430,71338,0,2554.7,242090,30221,49092,0
P11277,SPTB,10524,92033,10190,25408,768260,350890,22983,0,13273,5497.2,461120,1040.9,32341,0,415290,199080,6998.3,2240.4,291520,111150,1115.6,572170,13920,38127,10998,548.23
P12109,COL6A1,1289100,18798,58036,342250,983860,1078000,105470,48909,60352,8646.1,3780600,78651,120280,649490,3622600,4429100,5388.4,1203700,298400,365100,203460,2501600,258020,2144700,970600,318880
P12259,F5,181510,528940,101080,22238,328790,184960,107950,96804,36437,121060,105440,252210,228440,114540,4259.5,502010,23867,46231,131710,7470.5,116620,99606,36193,258650,48834,188530
P13521,SCG2,5035900,185310,297290,2362900,1852000,764900,88522,210880,30633,17535,4545500,210200,240200,3099200,2132300,10401000,23633,3086600,551230,3920900,2559800,2152800,213340,5827900,377760,516990
P13591,NCAM1,905180,140780,111650,129010,206420,295370,40389,172170,374990,30315,1138400,154850,152140,613630,569150,1165800,2473.1,898970,166050,253130,565230,556480,133250,481190,273140,891760
