Protein_ID,Gene_Name,Infected_1002,Infected_1015,Infected_1004,Infected_1017,Infected_1031,Infected_1014,Infected_1042,Infected_1044,Clean_2205,Clean_2057,Clean_2078,Clean_2062,Clean_2086,Clean_2065,Clean_2044,Clean_2048,Clean_2033,Clean_2041,Clean_2060,Clean_2029,Clean_1054,Clean_2038,Clean_2072,Clean_2064,Clean_2025,Clean_2063
P63261,ACTG1,1079800,3137000,214070,3684000,1276100,9446800,226670,173800,765300,62875,664420,329150,1409800,1512200,2789800,1186800,3669800,182050,1098900,1181600,122160,785340,1691000,2165500,1155700,550700
P61769,B2M,12596000,1906800,1859700,9585300,9468000,2592300,2723400,1851700,1907100,1613100,10261000,2684400,1347600,8796400,13200000,12311000,3150000,10661000,9119800,1165600,7177600,9879500,4443100,9340500,5599700,9137900
P63104,YWHAZ,124000,517110,0,24744,75679,402310,244810,34699,6900.3,0,115710,0,65999,369300,224280,168880,15493,37799,243970,48166,0,62902,307080,152860,8982.3,41300
P69891,HBG1,17498000,24052000,11873000,457150,167910000,22730000,4425700,5086100,1782700,7228400,1334000,655290,110470,5358700,5483000,4148100,134420,3347200,8740000,30651000,5514000,3073000,11853000,38144000,287030,2791400
P69905,HBA1,49076000,115470000,15624000,1651000,409030000,273060000,5015500,5719500,17209000,4014300,5480100,985090,1337900,11170000,4902400,3935300,2626100,8106900,16790000,276500000,5511600,3763400,89934000,72132000,5827400,4406700
P78509,RELN,1970400,0,2120800,1280.5,5543,8128.4,1791200,0,178530,1365000,660630,2091600,299680,2031900,20668,2003900,0,2500000,3016700,1684400,2410300,900460,2209600,2500100,0,1641600
P80723,BASP1,419100,355770,15316,214840,368000,938660,189980,0,224710,0,2024800,0,385880,818410,763410,1767800,67086,157890,251610,0,373620,1135300,108780,262970,409050,4134800
P98160,HSPG2,299440,66513,438340,256160,1137100,281320,89400,144860,153380,86372,1829800,68702,111090,287830,1506600,1547500,84972,310140,170580,830020,168740,2062200,472690,948290,1515000,289290
Q02246,CNTN2,281470,13482,13274,41767,0,151340,20479,142240,444.35,5895.5,150350,149950,36597,269020,30949,44317,21116,686130,34532,26296,86335,34916,9614.1,0,21677,274040
Q08380,LGALS3BP,352880,316380,33619,147740,153870,245210,114460,160650,1630.3,14652,22265,180380,70665,748670,54682,267450,0,1147900,179980,224430,141290,87088,147660,225760,0,223550
Q12805,EFEMP1,5858800,935440,187700,3088000,644400,1170800,144130,523170,1835400,303540,1020400,984490,871940,1795100,1876400,1397700,1870500,2524800,870000,77966,2545600,1026500,1391000,1935100,1212100,3328800
Q12841,FSTL1,214270,63025,0,139980,242880,74513,66989,59523,198480,40744,545650,56970,225520,204820,282110,431590,271250,223160,98021,35528,50151,442300,319670,527110,459230,41550
Q12860,CNTN1,1011300,30160,78905,198020,129100,349070,78036,60145,42602,16361,1877600,34779,26680,287950,264550,1299200,36984,1134200,87379,123650,395220,670740,12656,329950,209960,144170
Q13145,BAMBI,33426000,0,42032000,30131000,25861000,5075500,37745000,42178000,1537700,43208000,10233000,7312.2,59080000,16289,23064000,34869000,7640300,44641000,43986000,25775000,45891000,27499000,29860000,33035000,2280600,0
Q13822,ENPP2,4137900,7526800,1499500,785520,2132700,5718200,2403100,2908700,217460,1944700,857640,4805500,1505200,9205600,705370,1786300,316510,3964100,2309000,2281600,1712900,891730,3788000,2420600,166480,2394100
Q14118,DAG1,1575000,60770,15288,983190,1167800,1888500,0,11301,178720,8571.8,5889700,45389,260170,1293700,4614300,6309900,94003,291020,337220,206870,395940,4301700,635820,3114800,1406000,1202300
Q14515,SPARCL1,4363700,693690,1145300,2967200,1122800,1531100,519070,451660,1173900,534570,3785500,1736000,425180,2044700,1275100,3787200,181460,1315400,623270,887820,6279700,2992200,903290,1782400,1278700,3242700
Q14624,ITIH4,41381,200400,12447,664400,294590,246700,15083,44732,730410,0,24820,11957,1697100,342520,228430,137110,307690,36203,273660,27019,31762,346330,157580,266510,146110,316790
Q15113,PCOLCE,206820,0,0,74714,230610,117540,0,81721,3980.1,5280.5,175430,0,0,43601,189520,222670,35654,675870,99613,7755.5,136840,390800,373490,43039,2191.6,238010
Q15582,TGFBI,114320,9690.8,0,96611,290020,1696500,44801,0,352830,11507,418470,40362,179670,103430,862800,1173600,1973000,55646,88766,0,133060,496870,157990,407250,854610,76730
Q16270,IGFBP7,3096000,3783500,377670,834590,2709300,1261900,1056500,1915200,715800,894310,1887500,2546900,588730,5703300,1059000,1818600,598090,4010700,2185200,975380,609750,1808000,1424300,3235900,389980,1481300
Q6P587,FAHD1,1002900,4431300,1841200,7263600,7803000,1513800,5133500,10366000,3173600,2342700,5214300,8492500,5564800,10924000,8413300,10625000,1473300,13569000,14924000,9875300,9259100,8715400,8546900,11935000,3077100,13627000
Q71U36,TUBA1A,198180,634510,4786.5,0,12844,167610,30817,4214.4,6413.6,12266,0,11495,94902,194990,40694,65301,10349,26571,73407,11966,0,28157,105300,13294,0,19372
Q86UA1,PRPF39,4352100,0,77438,119710,339920,542250,17724000,396430,171840,220090,37410,43272,127710,527760,419040,163270,36572,1423400,3524800,3135800,259070,206860,984010,1529200,92228,975400
Q86VB7,CD163,288680,1776.3,330550,240550,18329,1169500,57371,578990,94769,12386,45679,4901.8,346040,654590,538840,75408,203300,223010,15370,12684,1741200,12959,646550,494640,48752,185640
Q8N126,CADM3,600450,18142,20292,140140,146450,426610,0,0,30312,0,877640,0,38197,226670,390960,708850,15856,87360,42113,119200,292020,378370,47002,250920,315930,183780
Q8TCZ2,CD99L2,144490,50356,86973,249210,98862,121430,28683,55668,0,32930,138000,54397,38884,241730,106800,207630,0,266350,72161,128990,409910,153700,62419,137190,37839,284630
Q8WVQ1,CANT1,2893.6,11109,0,40052,71146,0,0,0,28107,0,78695,0,18738,35056,118170,299460,1417.9,60068,31644,0,4020.7,129690,3537.4,89367,4716.6,45257
Q8WXD2,SCG3,4007300,190970,639750,3603000,1406800,1247300,146430,99186,230150,25181,7153300,181080,334540,2472300,2053400,4915800,150970,1479600,338980,1067700,2424000,4282200,172870,2184800,1879200,1048100
Q92520,FAM3C,972570,234350,30960,341460,995530,555910,72857,33417,79630,12213,2872900,292580,76072,761110,1689300,2814900,2151.4,757010,87997,470170,572070,1849200,75817,1499600,1090600,698810
Q92823,NRCAM,3782100,48820,105780,1109000,974370,1780500,29872,164040,93254,15696,8208500,20905,259670,1328100,3398600,5822800,61165,3306300,178000,706460,1814700,3957000,79017,1544200,517500,862800
Q92876,KLK6,1957000,622130,863610,295080,100430,752100,304980,862640,339500,602610,50433,2749500,314990,1636100,0,122680,61572,1111500,650190,404030,2311500,28688,945440,322260,3282.3,4410800
Q96FE7,PIK3IP1,97563,0,11388,119720,0,101380,0,34098,5110.1,0,203800,35353,0,213440,256200,463050,14397,94467,83380,95666,132060,433240,444.66,121540,1174.8,142740
Q96GW7,BCAN,2143000,78214,219600,670740,1070900,1090500,190120,44180,159480,90321,10956000,187300,80255,1683600,3174900,6026600,58024,2991700,543440,269120,317240,4941400,142190,1547500,2094000,440640
Q96JM4,LRRIQ1,4515000,1400600,588250,2843900,2474000,1145300,2513500,537990,2382400,1057500,915310,2697700,10810000,7181500,13389000,10873000,1774200,1613400,16029000,3918500,3225000,2860200,7311500,7645600,2129000,7454400
Q96KN2,CNDP1,1195800,258700,200410,97228,0,660400,278530,582950,191580,196350,60675,382010,81674,272610,0,11671,7246.8,93318,192460,5769.3,1050400,0,259470,68946,80312,1455500
Q96M86,DNHD1,2995200,993570,4214900,10659,367760,327780,1998200,3228100,123920,8180600,479740,3967700,255880,3228100,431830,1675900,19954,7481300,3637300,1742100,2905300,911.55,2314100,2049600,0,1300600
Q96PD5,PGLYRP2,46672,8207.7,0,568430,531210,416020,0,0,345620,20643,164140,6218.7,581990,297240,135760,176250,240220,72862,196440,36342,22933,139070,127380,216840,930460,331610
Q99435,NELL2,3277100,36490,159110,1841500,4052800,302060,0,30156,118540,8844,27247000,93239,245760,854000,10367000,20228000,10431,2152300,1143600,1409700,3637300,17839000,120340,3558200,5102600,1044800
Q99674,CGREF1,236850,0,0,344920,146330,13351,0,0,19850,0,931040,20628,640870,184780,378230,778040,441350,128510,69550,76981,95208,324360,136740,278360,45734,162980
Q9H6X2,ANTXR1,5507500,6101600,5712100,5260300,4952700,0,5323500,7859100,0,7640200,1628500,8359500,298920,7728200,3525800,5168200,2380100,6023700,8546400,2463000,8456600,2690000,8255200,7317200,0,6641900
Q9UBP4,DKK3,1171800,86081,76982,136480,176050,807540,48426,84285,43617,96029,729790,185220,54067,341940,628980,731930,212190,629180,100360,119720,5088000,793770,135520,280950,235280,1203700
Q9UBS8,RNF14,410230,356040,0,148360,112090,184420,85417,0,28954,72016,0,137080,47204,109030,261020,420830,2431.7,861570,269220,139850,247580,0,211910,499880,31583,374140
Q9UHG2,PCSK1N,2563000,45639,155390,229240,1273500,915390,4730.1,17374,113990,93133,3871500,152390,116180,1784400,3491100,5942200,0,1335000,406630,1148800,1217400,1900600,256370,3782400,1144500,988930
Q9Y463,DYRK1B,2982000,3713600,3478500,0,2509100,15825,2711000,4402500,156280,4425600,1080200,4764000,0,3719000,1501100,3373800,0,2483200,4589600,1623300,5098700,1409900,4396400,3962600,145890,3406800
